No Terminal,reg,var,def,main,if,elseif,else,while,do,for,switch,case,default,break,return,true,false,null,Console.read,Console.log,CLEAR,SQRT,POW,SQRTV,STRLEN,concat,copy,val,str,sin,cos,tan,chr,pred,succ,inc,dec,sqr,id,Const_real,Const_cadena,Const_Exponencial,Binario,Const_Decimal,Const_Octal,Const_Hexadecimal,+,-,*,/,%,#,^,++,--,=,+=,-=,*=,/=,<,>,<=,>=,==,!=,&&,||,!,~,&,|,<<,>>,>>>,(,),[,],{,},coma,;,:,?,$
PROGRAMA,78,79,80,82,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,81,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,544
STATU,519,519,519,519,97,105,105,100,101,103,104,519,519,105,102,98,98,98,95,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,519,519,519,519,519,98,98,519,519,519,519,519,519,519,519,519,519,519,519,519,98,98,519,519,519,519,519,98,519,519,519,99,105,519,105,519,519,544
OR,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,66,66,66,512,512,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,512,512,512,512,512,66,66,512,512,512,512,512,512,512,512,512,512,512,512,512,66,66,512,512,512,512,512,66,512,512,512,512,512,512,512,512,512,544
AND,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,62,62,62,512,512,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,512,512,512,512,512,62,62,512,512,512,512,512,512,512,512,512,512,512,512,512,62,62,512,512,512,512,512,62,512,512,512,512,512,512,512,512,512,544
EXP_PAS,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,54,54,54,512,512,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,512,512,512,512,512,54,54,512,512,512,512,512,512,512,512,512,512,512,512,512,54,54,512,512,512,512,512,54,512,512,512,512,512,512,512,512,512,544
SIMPLE_EXP_PASCAL,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,47,47,47,512,512,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,512,512,512,512,512,47,47,512,512,512,512,512,512,512,512,512,512,512,512,512,47,47,512,512,512,512,512,47,512,512,512,512,512,512,512,512,512,544
TERMINO_PASCAL,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,41,41,41,513,513,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,513,513,513,513,513,41,41,513,513,513,513,513,513,513,513,513,513,513,513,513,41,41,513,513,513,513,513,41,513,513,513,513,513,513,513,513,513,544
ELEVACION,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,38,38,38,514,514,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,514,514,514,514,514,38,38,514,514,514,514,514,514,514,514,514,514,514,514,514,38,38,514,514,514,514,514,38,514,514,514,514,514,514,514,514,514,544
FACTOR,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,18,18,18,514,514,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,21,18,18,18,18,18,18,18,18,18,514,514,514,514,514,19,20,514,514,514,514,514,514,514,514,514,514,514,514,514,22,23,514,514,514,514,514,24,514,514,514,514,514,514,514,514,514,544
CONSTANTE_S_SIGNO,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,11,12,14,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,8,9,13,10,10,10,10,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,544
