Codigo,No_Terminal,Produccion
1,LISTA_DE_PARAMETROS,( id 811 A1 )
2,A1,coma id 811 A1
3,A1,EPSILON
4,CONST_NUMERICA,Binario 814
5,CONST_NUMERICA,Const_Decimal 814
6,CONST_NUMERICA,Const_Octal 814
7,CONST_NUMERICA,Const_Hexadecimal 814
8,CONSTANTE_S_SIGNO,Const_real 814
9,CONSTANTE_S_SIGNO,Const_cadena 814
10,CONSTANTE_S_SIGNO,CONST_NUMÉRICA
11,CONSTANTE_S_SIGNO,true 814
12,CONSTANTE_S_SIGNO,false 814
13,CONSTANTE_S_SIGNO,Const Exponencial 814
14,CONSTANTE_S_SIGNO,null 814
15,DECLARACION_CONSTANTES,+ 815 CONSTANTE_S_SIGNO 817
16,DECLARACION_CONSTANTES,- 815 CONSTANTE_S_SIGNO 817
17,DECLARACION_CONSTANTES,CONSTANTE_S_SIGNO
18,FACTOR,DECLARACION_CONSTANTES
19,FACTOR,++ 815 id 812 814 817 B1
20,FACTOR,-- 815 id 812 814 817 B1
21,FACTOR,id 812 814 B1
22,FACTOR,! 815 ( OR ) 817
23,FACTOR,~ 815 ( OR ) 817
24,FACTOR,( OR )
25,FACTOR,FUNCION
26,B1,821 ARR 822 B2
27,B1,ASIG OR B3 816
28,B1,820 ( B4 ) 822
29,B1,EPSILON
30,B2,ASIG OR B3 816
31,B2,EPSILON
32,B3,? 815 OR : OR 818
33,B3,EPSILON
34,B4,OR B5
35,B4,EPSILON
36,B5,coma OR B5
37,B5,EPSILON
38,ELEVACION,FACTOR C1
39,C1,^ 815 FACTOR 816 C1
40,C1,EPSILON
41,TERMINO_PASCAL,ELEVACIÓN D1
42,D1,* 815 ELEVACIÓN 816 D1
43,D1,/ 815 ELEVACIÓN 816 D1
44,D1,# 815 ELEVACIÓN 816 D1
45,D1,% 815 ELEVACIÓN 816 D1
46,D1,EPSILON
47,SIMPLE_EXP_PASCAL,TÉRMINO_PASCAL E1
48,E1,- 815 TÉRMINO_PASCAL 816 E1
49,E1,+ 815 TÉRMINO_PASCAL 816 E1
50,E1,<< 815 TÉRMINO_PASCAL 816 E1
51,E1,>> 815 TÉRMINO_PASCAL 816 E1
52,E1,>>> 815 TÉRMINO_PASCAL 816 E1
53,E1,EPSILON
54,EXP_PAS,SIMPLE_EXP_PASCAL F1
55,F1,< 815 SIMPLE_EXP_PASCAL 816 F1
56,F1,>= 815 SIMPLE_EXP_PASCAL 816 F1
57,F1,<= 815 SIMPLE_EXP_PASCAL 816 F1
58,F1,!= 815 SIMPLE_EXP_PASCAL 816 F1
59,F1,== 815 SIMPLE_EXP_PASCAL 816 F1
60,F1,> 815 SIMPLE_EXP_PASCAL 816 F1
61,F1,EPSILON
62,AND,EXP_PAS G1
63,G1,&& 815 EXP_PAS 816 G1
64,G1,& 815 EXP_PAS 816 G1
65,G1,EPSILON
66,OR,823 AND H1 824
67,H1,|| 815 AND 816 H1
68,H1,| 815 AND 816 H1
69,H1,EPSILON
70,ARR,[ OR I1 ]
71,I1,coma OR I1
72,I1,EPSILON
73,ASIG,= 815
74,ASIG,+= 815
75,ASIG,-= 815
76,ASIG,/= 815
77,ASIG,*= 815
78,PROGRAMA,reg id { id J1 } PROGRAMA
79,PROGRAMA,var J2 id 804 J4 J5
80,PROGRAMA,def id 802 LISTA_DE_PARAMETROS PROGRAMA 803 ; PROGRAMA
81,PROGRAMA,id 813 = DECLARACION_CONSTANTES J6 ; PROGRAMA
82,PROGRAMA,main ( ) 800 { STATU K3 801 }
83,J1,coma id J1
84,J1,EPSILON
85,J2,reg id
86,J2,EPSILON
87,J3,coma Const_Decimal 806 J3
88,J3,EPSILON
89,J4,[ Const_Decimal 806 J3 ]
90,J4,EPSILON
91,J5,coma J2 id 804 J4 J5
92,J5,; PROGRAMA
93,J6,coma id 813 = DECLARACION_CONSTANTES J6
94,J6,EPSILON
95,STATU,Console.read ( OR K1 )
96,STATU,Console.log ( OR )
97,STATU,if ( OR ) STATU K2
98,STATU,OR
99,STATU,{ STATU K3 }
100,STATU,while ( OR ) STATU
101,STATU,do STATU while ( OR )
102,STATU,return OR
103,STATU,for ( OR K1 K4) STATU
104,STATU,switch ( OR ) { case OR : STATU K3 break K5 }
105,STATU,EPSILON
106,K1,coma OR K1
107,K1,EPSILON
108,K2,elseif ( OR ) STATU K2
109,K2,else STATU
110,K2,EPSILON
111,K3,; STATU K3
112,K3,EPSILON
113,K4,; STATU ; OR K1
114,K4,: OR
115,K5,case OR : STATU K3 break K5
116,K5,default : STATU K3
117,K5,EPSILON
118,FUNCION,CLEAR 814
119,FUNCION,SQRT 819 ( OR ) 822
120,FUNCION,POW 819 ( OR , OR ) 822
121,FUNCION,SQRTV 819 ( OR , OR ) 822
122,FUNCION,STRLEN 819 ( OR ) 822
123,FUNCION,concat 819 ( OR ) 822
124,FUNCION,copy 819 ( OR , OR ) 822
125,FUNCION,val 819 ( OR , OR , OR ) 822
126,FUNCION,str 819 ( OR , OR ) 822
127,FUNCION,sin 819 ( OR ) 822
128,FUNCION,cos 819 ( OR ) 822
129,FUNCION,tan 819 ( OR ) 822
130,FUNCION,chr 819 ( OR ) 822
131,FUNCION,pred 819 ( OR ) 822
132,FUNCION,succ 819 ( OR ) 822
133,FUNCION,inc 819 ( OR ) 822
134,FUNCION,dec 819 ( OR ) 822
135,FUNCION,sqr 819 ( OR ) 822
